serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
51,ad_id_100,ad_set_090,114.04,1.16,36.54,40.63,14.84,1.01,2929,3,10.12,38.01,0.93,4.15,1083,311,208,155,111
52,ad_id_1275,ad_set_050,17.87,0.0,52.83,38.68,20.43,1.11,414,0,0.0,0.0,1.49,2.61,243,115,62,30,18
53,ad_id_1495,ad_set_066,56.16,0.0,62.33,48.51,30.23,1.14,895,0,0.0,0.0,1.65,3.33,637,362,213,144,77
54,ad_id_1443,ad_set_071,2.86,0.0,63.93,56.41,36.07,1.17,52,0,0.0,0.0,0.95,4.92,39,25,13,9,4
55,ad_id_512,ad_set_016,37.96,0.0,51.79,45.68,23.66,1.11,706,0,0.0,0.0,1.05,4.6,405,213,115,68,50
56,ad_id_1482,ad_set_049,11.17,3.04,52.28,41.92,21.92,1.11,396,1,22.83,11.17,0.45,5.71,229,112,60,34,26
57,ad_id_1658,ad_set_013,25.9,0.0,54.23,47.07,25.53,1.23,617,0,0.0,0.0,0.84,4.1,410,217,104,57,32
58,ad_id_1516,ad_set_031,0.37,0.0,47.06,50.0,23.53,1.06,16,0,0.0,0.0,0.0,0.0,8,5,1,1,1
59,ad_id_656,ad_set_056,1.03,0.0,61.76,42.86,26.47,1.13,30,0,0.0,0.0,0.52,5.88,21,10,2,1,0
60,ad_id_935,ad_set_046,12.82,0.0,38.86,41.26,16.03,1.16,317,0,0.0,0.0,0.75,4.62,143,64,45,31,24
61,ad_id_885,ad_set_098,2.42,0.0,35.23,32.26,11.36,1.07,82,0,0.0,0.0,1.21,2.27,31,14,5,2,1
62,ad_id_1353,ad_set_027,41.5,2.0,41.54,43.58,18.1,1.21,1055,2,15.67,20.75,0.88,3.68,530,250,163,93,61
63,ad_id_178,ad_set_050,2.67,0.0,37.08,42.42,15.73,1.1,81,0,0.0,0.0,0.67,4.49,33,14,9,8,5
64,ad_id_732,ad_set_043,3.14,0.0,48.48,37.5,18.18,1.08,92,0,0.0,0.0,0.79,4.04,48,21,9,7,6
